t [s]	η [m]
61.25	1.2813473
61.375	1.5360492
61.5	1.7963853
61.625	2.0592282
61.75	2.3210516
61.875	2.578131
62.0	2.8267174
62.125	3.0631382
62.25	3.2838118
62.375	3.4850256
62.5	3.6629038
62.625	3.813171
62.75	3.931058
62.875	4.011285
63.0	4.04815
63.125	4.0358176
63.25	3.968714
63.375	3.8420851
63.5	3.65255
63.625	3.3987243
63.75	3.0817509
63.875	2.705651
64.0	2.2774594
64.125	1.8071187
64.25	1.3070596
64.375	0.7915286
64.5	0.27571398
64.625	-0.22527356
64.75	-0.69746596
64.875	-1.1290157
65.0	-1.5110092
65.125	-1.837995
65.25	-2.1082082
65.375	-2.3234081
65.5	-2.4884095
65.625	-2.6102753
65.75	-2.6974132
65.875	-2.7584038
66.0	-2.8010724
66.125	-2.831534
66.25	-2.8536673
66.375	-2.8687105
66.5	-2.8754017
66.625	-2.870335
66.75	-2.8487003
66.875	-2.805099
67.0	-2.734529
67.125	-2.633354
67.25	-2.4999793
67.375	-2.3353941
67.5	-2.1433058
67.625	-1.9299684
67.75	-1.7036763
67.875	-1.473968
68.0	-1.25071
68.125	-1.043041
68.25	-0.8584975
68.375	-0.7022241
68.5	-0.5764818
68.625	-0.4805135
68.75	-0.41066274
68.875	-0.36086464
69.0	-0.32332858
69.125	-0.28939003
69.25	-0.25039026
69.375	-0.19849953
69.5	-0.1273843
69.625	-0.032669388
69.75	0.08786247
69.875	0.23428653
70.0	0.4047952
70.125	0.5960499
70.25	0.803632
70.375	1.0225325
70.5	1.2474662
70.625	1.4731891
70.75	1.694572
70.875	1.9066575
71.0	2.1045425
71.125	2.283212
71.25	2.4375074
71.375	2.5619884
71.5	2.6510477
71.625	2.6990807
71.75	2.7008262
71.875	2.6517837
72.0	2.5486858
72.125	2.3899431
72.25	2.1759932
72.375	1.9095752
72.5	1.5957352
72.625	1.2416519
72.75	0.8563277
72.875	0.45005184
73.0	0.03380252
73.125	-0.3813701
73.25	-0.78493863
73.375	-1.1673759
73.5	-1.520473
73.625	-1.8375286
73.75	-2.1133351
73.875	-2.3440318
74.0	-2.5269618
74.125	-2.6604056
74.25	-2.7434247
74.375	-2.7757518
74.5	-2.7578034
74.625	-2.6907537
